Role,Dialogue
고객,금융거래 확인서 부채 잔액 증명서를 팩스로 받을 수 있나요?
상담사,"아니요, 불가능하십니다."
고객,인터넷으로 발급이 가능한가요?
상담사,"네, 인터넷으로 발급 가능하십니다."
고객,어떻게 할 수 있나요?
상담사,인터넷뱅킹 또는 키오스크를 통해 발급 가능하십니다.
고객,키오스크란 무엇인가요?
상담사,영업점 창구 수준의 완결을 지원하는 지능형 자동화 기기 다른 방법으로도 가능한가요?
고객,본인이 주민등록증 지참하시고 가까운 영업점 방문하셔서 발급 가능하십니다.
상담사,인터넷 발급은 어떻게 할 수 있나요?
고객,인터넷 발급과 키오스 발급하는 방법은 다릅니다.
상담사,어떻게 다른가요?
고객,"부채증명서 금융거래 확인서 인터넷 발급은 일번 대상은 개인, 개인 및 법인입니다."
상담사,이번 발급 기준일은 전전 영업일에서 18개월 이내입니다.
고객,삼번 발급 가능 시간은 평일 및 공휴일 공 칠시에서 22시까지.
상담사,시스템 점검일은 제외입니다.
고객,사번 발급 수수료는 이천원입니다.
상담사,"오번 경로는 뱅킹 관리 증명서 발급, 여신 증명서 발급 조회하시면 됩니다."
고객,"키오스크 발급은요 키오스크 발급 대상은 개인, 개인 사업자 포함입니다."
상담사,이번 발급 기준일은?
고객,전 영업일에서 18개월 이대입니다.
상담사,삼 번 발급 가능 시간은 생체 정보 등록 고 고객 이용 시간 제한 없으시며 사 번 발급 수수료는 2000원입니다.
고객,"오 번 본인 확인 방법은 실명확인 증표, 생체정보 추가 인증하시면 됩니다."
상담사,인터넷 뱅킹이 잘 안되면 어떻게 하나요?
고객,인터넷 뱅킹 이용이 어려우신 개인 대한민국 국적의 10010 9세 이상의 고객님은 지점 내 설치되어 있는 위비 스마트 키오스를 통해 은행 업무를 처리할 수 있습니다.
상담사,혹시 유의사항이 있나요?
고객,"네, 표시 가능 건수가 제한되어 있어."
상담사,초과 시는 영업점에서 발급 가능합니다.
고객,또한 취소 및 여신 원장 정정 등 전산 변경 거래 불가합니다.
상담사,
