Role,Dialogue
고객,신용카드 관련해서 연락드립니다.
상담사,비즈 포인트로 적립되는 카드가 있나요?
고객,"네, 법인카드 말씀이신가요?"
상담사,"네, 법인카드요."
고객,네 법인카드 중에 비즈 신용카드가 있습니다.
상담사,"아, 그렇군요."
고객,그럼 포인트는 얼마나 적립되나요?
상담사,사용하시는 금액에 따라 적립률의 차이가 있습니다.
고객,어떻게 다르지요?
상담사,30만 원 이상 이용 시에는 0.
고객,"4%, 삼 퍼센트, 50만 원 이상 이용 시에는 0."
상담사,7% 적립됩니다.
고객,"좋으네요, 혹시 포인트 추가 적립 위한 프로모션 같은 건 없나요?"
상담사,제휴 주유소에는 포인트 추가 적립이 있습니다.
고객,주유 일천 원마다 이 포인트씩 추가로 적립을 해드립니다.
상담사,"아, 그렇군요."
고객,포인트는 언제라도 사용 가능한가요?
상담사,"네, 1번째 카드 결제일 다음날부터 사용 가능하십니다."
고객,알겠습니다.
상담사,"네, 더 도움이 필요하신 내용이 있으신가요?"
고객,카드 결제일을 당길 수도 있나요?
상담사,네 카드 결제 일은 원하시는 일정으로 자유롭게 설정 가능합니다.
고객,알겠습니다.
상담사,
