Role,Dialogue
고객,다른 은행으로 이체를 하고 싶은데요.
상담사,어느 은행으로 이체를 원하시나요?
고객,"네, 농업계좌로 보내고 싶어요, 가능합니다."
상담사,"고객님, 농협으로 공공만 원을 보내주세요."
고객,수치인의 계좌번호와 예금주 확인 부탁드립니다.
상담사,계좌번호는 공공공공공공공공공공이고 예금주는 000입니다.
고객,타임이므로 이체 수수료가 공공원 발생됩니다.
상담사,출금 계좌에서 수수료도 함께 출금해도 되겠습니까?
고객,출금 계좌번호를 확인해 주세요.
상담사,"공공공공공공공공 출금 계좌는 000 다시 000, 다시 0000입니다."
고객,계좌가 본인 계좌 맞으십니까?
상담사,네 계좌 비밀번호를 불러주시길 바랍니다.
고객,0000 이요?
상담사,감사합니다.
고객,"고객님의 000 다시 000 다시 공공공에 계좌에서 공공만원이 000, 다시 000 다시 0000 계좌로 송금하려 합니다."
상담사,수수료 공공원도 함께 진행합니다.
고객,동의하십니까?
상담사,네 동의합니다.
고객,이체가 완료되었습니다.
상담사,
