Role,Dialogue
고객,ATM 에서 가능한 거래는 어떤 것들이 있나요?
상담사,다양한 업무가 가능하십니다.
고객,어떤 것들이 있나요?
상담사,"예금 입출금 계좌 송금, 통장 정리, 무통장 무카드 거래, 신용카드 거래 등 가능하십니다."
고객,신용카드 거래는 어떤 것들이 가능한가요?
상담사,"서비스 출금, 사용내역 조회."
고객,청구서 조회 카드 사용 등록이 가능하십니다.
상담사,이외에 어떤 것들이 가능한가요?
고객,해외송금 환율 조회가 가능하십니다.
상담사,증권계좌도 가능한가요?
고객,증권계좌 입출금 가능하십니다.
상담사,지로공과금 납부도 ATM 으로 가능한가요?
고객,그렇습니다.
상담사,지로공과금 납부는 어떤 것들이 가능한가요?
고객,"사회보험료, 전화요금, 전기요금 지로납부, 국세, 지방세 등 납부 가능하십니다."
상담사,또 어떤 것이 가능한가요?
고객,하이패스 카드 거래도 가능하십니다.
상담사,안 되는 것들이 있어요.
고객,"영업점 외부에 설치된 일부 제휴기기에서는 해외송금, 환율 조회, 하이패스 카드 거래 등의."
상담사,부가 서비스가 지원되지 않고 있다는 점 양해 부탁드립니다.
고객,"네, 알겠습니다."
상담사,감사합니다.
고객,"네, 고객님 좋은 하루 되세요."
상담사,
